;Template;Tube_label;tm;Size;Fw;Rv;;
1;CAX4;CAX4.up;60C;0.2kb;BTX.124;BTX.125;;
2;CAX4;CAX4.dw;60C;0.2kb;BTX.126;BTX.127;;
3;GLR1;GLR1.up;60C;0.2kb;BTX.132;BTX.133;;
4;GLR1;GLR1.dw;60C;0.2kb;BTX.134;BTX.135;;
5;HEM25;HEM25.up;60C;0.2kb;BTX.116;BTX.117;;
6;HEM25;HEM25.dw;60C;0.2kb;BTX.118;BTX.119;;
7;KGD2;KGD2.up;60C;0.22kb;BTX.112;BTX.113;;
8;KGD2;KGD2.dw;60C;0.2kb;BTX.114;BTX.115;;
9;PDX3;PDX3.up;60C;0.2kb;BTX.136;BTX.137;;
10;PDX3;PDX3.dw;60C;0.2kb;BTX.138;BTX.139;;
11;PRO2;PRO2.up;60C;0.2kb;BTX.128;BTX.129;;
12;PRO2;PRO2.dw;60C;0.2kb;BTX.130;BTX.131;;
13;VMA16;VMA16.up;60C;0.2kb;BTX.120;BTX.121;;
14;VMA16;VMA16.dw;60C;0.2kb;BTX.122;BTX.123;;
15;YSY6;YSY6.up;60C;0.2kb;BTX.140;BTX.141;;
16;YSY6;YSY6.dw;60C;0.2kb;BTX.142;BTX.143;;
